app,time,outlier,time2
YouTube,3,0,3
TikTok,0,0,0
Instagram,2,0,2
Facebook,5,0,5
YouTube,3,0,3
TikTok,4,0,4
Instagram,6,0,6
Facebook,6,0,6
YouTube,16,1,NA
TikTok,10,0,10
Instagram,20,1,NA
Facebook,15,1,NA
YouTube,10,0,10
TikTok,0,0,0
Instagram,1.6333333333333333,0,1.6333333333333333
Facebook,1.1166666666666667,0,1.1166666666666667
YouTube,0.9833333333333333,0,0.9833333333333333
TikTok,8.133333333333333,0,8.133333333333333
Instagram,7.35,0,7.35
Facebook,5.016666666666667,0,5.016666666666667
YouTube,0.2833333333333333,0,0.2833333333333333
TikTok,2.35,0,2.35
Instagram,5.5,0,5.5
Facebook,6.466666666666667,0,6.466666666666667
YouTube,2,0,2
TikTok,8.616666666666667,0,8.616666666666667
Instagram,0.6166666666666667,0,0.6166666666666667
Facebook,2.1166666666666667,0,2.1166666666666667
YouTube,0.8833333333333333,0,0.8833333333333333
TikTok,5.416666666666667,0,5.416666666666667
Instagram,0.3333333333333333,0,0.3333333333333333
Facebook,2,0,2
YouTube,3.5,0,3.5
TikTok,6.75,0,6.75
Instagram,3.1166666666666667,0,3.1166666666666667
Facebook,0.15,0,0.15
YouTube,0.6166666666666667,0,0.6166666666666667
TikTok,0,0,0
Instagram,15,1,NA
Facebook,5,0,5
YouTube,1,0,1
TikTok,1,0,1
Instagram,2.25,0,2.25
Facebook,1,0,1
YouTube,0,0,0
TikTok,0,0,0
Instagram,1,0,1
Facebook,10,0,10
YouTube,10,1,NA
TikTok,0,0,0
Instagram,1,0,1
Facebook,23,1,NA
YouTube,23,1,NA
TikTok,0,0,0
Instagram,1,0,1
Facebook,2,0,2
YouTube,9,1,NA
TikTok,7,0,7
Instagram,14,1,NA
Facebook,4,0,4
YouTube,0,0,0
TikTok,0.4166666666666667,0,0.4166666666666667
Instagram,2.15,0,2.15
Facebook,0,0,0
YouTube,0,0,0
TikTok,3.466666666666667,0,3.466666666666667
Instagram,1.5666666666666667,0,1.5666666666666667
Facebook,0.08333333333333333,0,0.08333333333333333
YouTube,0.15,0,0.15
TikTok,1,0,1
Instagram,2,0,2
Facebook,1,0,1
YouTube,0,0,0
TikTok,8,0,8
Instagram,9,0,9
Facebook,0,0,0
YouTube,4,0,4
TikTok,8,0,8
Instagram,5,0,5
Facebook,5,0,5
YouTube,2,0,2
TikTok,3.25,0,3.25
Instagram,2.7666666666666666,0,2.7666666666666666
Facebook,0.21666666666666667,0,0.21666666666666667
YouTube,0.16666666666666666,0,0.16666666666666666
TikTok,1.8333333333333335,0,1.8333333333333335
Instagram,2,0,2
Facebook,0,0,0
YouTube,0.5,0,0.5
TikTok,5.25,0,5.25
Instagram,4.866666666666667,0,4.866666666666667
Facebook,3.3333333333333335,0,3.3333333333333335
YouTube,0.25,0,0.25
TikTok,14,0,14
Instagram,7,0,7
Facebook,1,0,1
YouTube,6,0,6
TikTok,16.366666666666667,0,16.366666666666667
Instagram,0.06666666666666667,0,0.06666666666666667
Facebook,0.9166666666666666,0,0.9166666666666666
YouTube,0.21666666666666667,0,0.21666666666666667
TikTok,0.9166666666666666,0,0.9166666666666666
Instagram,1.35,0,1.35
Facebook,0.21666666666666667,0,0.21666666666666667
YouTube,0,0,0
TikTok,5.666666666666667,0,5.666666666666667
Instagram,2.4,0,2.4
Facebook,0.016666666666666666,0,0.016666666666666666
YouTube,1.1833333333333333,0,1.1833333333333333
TikTok,6,0,6
Instagram,2,0,2
Facebook,0.4,0,0.4
YouTube,0.5,0,0.5
TikTok,8.583333333333334,0,8.583333333333334
Instagram,6.766666666666667,0,6.766666666666667
Facebook,0.13333333333333333,0,0.13333333333333333
YouTube,0.5833333333333334,0,0.5833333333333334
TikTok,1.3166666666666667,0,1.3166666666666667
Instagram,2.9166666666666665,0,2.9166666666666665
Facebook,0.5333333333333333,0,0.5333333333333333
YouTube,0.03333333333333333,0,0.03333333333333333
TikTok,9.55,0,9.55
Instagram,2.1666666666666665,0,2.1666666666666665
Facebook,0.4,0,0.4
YouTube,0.08333333333333333,0,0.08333333333333333
TikTok,5,0,5
Instagram,9,0,9
Facebook,0.5,0,0.5
YouTube,2,0,2
TikTok,0.3333333333333333,0,0.3333333333333333
Instagram,6,0,6
Facebook,0,0,0
YouTube,3,0,3
TikTok,3,0,3
Instagram,6,0,6
Facebook,5,0,5
YouTube,2,0,2
TikTok,3,0,3
Instagram,1,0,1
Facebook,5,0,5
YouTube,3,0,3
TikTok,7.866666666666667,0,7.866666666666667
Instagram,6.55,0,6.55
Facebook,1.8333333333333335,0,1.8333333333333335
YouTube,0.9,0,0.9
TikTok,1.4666666666666668,0,1.4666666666666668
Instagram,2.25,0,2.25
Facebook,0.6166666666666667,0,0.6166666666666667
YouTube,0,0,0
TikTok,5,0,5
Instagram,20,1,NA
Facebook,5,0,5
YouTube,1,0,1
TikTok,1.8666666666666667,0,1.8666666666666667
Instagram,1.55,0,1.55
Facebook,0.5333333333333333,0,0.5333333333333333
YouTube,0.2833333333333333,0,0.2833333333333333
TikTok,7,0,7
Instagram,7,0,7
Facebook,5,0,5
YouTube,7,0,7
TikTok,2.45,0,2.45
Instagram,1.2166666666666668,0,1.2166666666666668
Facebook,0.5,0,0.5
YouTube,0,0,0
TikTok,5.4,0,5.4
Instagram,1.8166666666666667,0,1.8166666666666667
Facebook,1.6,0,1.6
YouTube,0,0,0
TikTok,3.6,0,3.6
Instagram,8.933333333333334,0,8.933333333333334
Facebook,3.6666666666666665,0,3.6666666666666665
YouTube,0,0,0
TikTok,22.166666666666668,1,NA
Instagram,8.1,0,8.1
Facebook,6.1,0,6.1
YouTube,3.7333333333333334,0,3.7333333333333334
TikTok,2,0,2
Instagram,5,0,5
Facebook,1,0,1
YouTube,3,0,3
TikTok,1,0,1
Instagram,12,0,12
Facebook,10,0,10
YouTube,2,0,2
TikTok,10,0,10
Instagram,8,0,8
Facebook,4,0,4
YouTube,4,0,4
TikTok,5,0,5
Instagram,0.7333333333333333,0,0.7333333333333333
Facebook,0.55,0,0.55
YouTube,0,0,0
TikTok,15.566666666666666,0,15.566666666666666
